	tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
151806	tt10687070	movie	Mandela	2021	140	Comedy,Drama	8.4	7509
151808	tt10687116	movie	Entergalactic	2022	93	Animation,Comedy,Music	7.3	11880
151809	tt10687158	movie	Western Stars	2019	83	Documentary,Music	7.6	1907
151812	tt10687220	movie	Nikamma	2022	152	Action,Comedy,Drama	2.6	1665
151814	tt10687506	movie	The Electrical Life of Louis Wain	2021	111	Biography,Drama,History	6.8	17039
151816	tt1068773	movie	Detective Conan: Captured in Her Eyes	2000	100	Adventure,Animation,Crime	7.5	2728
151830	tt1068953	movie	House of Good and Evil	2013	108	Thriller	5.3	4735
151831	tt1068956	movie	In the Name of God	2007	168	Drama	8.3	9488
151833	tt1068961	movie	Midnight Son	2011	88	Horror	5.9	1851
151847	tt10691162	movie	Aftermath	2021	114	Drama,Horror,Mystery	5.3	17333
151862	tt1069238	movie	Departures	2008	130	Drama	8.0	53251
151882	tt10692788	movie	After Love	2020	89	Drama	7.3	3644
151884	tt10692888	movie	Ponmagal Vandhal	2020	123	Crime,Drama,Thriller	6.8	3074
151887	tt10692994	movie	Dhamaka	2020	121	Comedy	5.0	1110
151892	tt10695464	movie	The Source of Shadows	2020	83	Horror	5.5	1380
151902	tt10696586	movie	Some People Don't Revisit the Marriage Officiant	2021	100	Comedy	5.3	1124
151903	tt10696784	movie	The Harder They Fall	2021	139	Action,Drama,Western	6.6	66592
151904	tt10696882	movie	Scarecrow	2019	125	Comedy,Crime,Drama	4.9	1188
151905	tt10696896	movie	Stillwater	2021	139	Crime,Drama,Thriller	6.6	46820
151908	tt10698174	movie	Wolf	2021	99	Drama,Mystery,Thriller	5.2	12159
151913	tt10698680	movie	K.G.F: Chapter 2	2022	168	Action,Crime,Drama	8.3	138929
151915	tt10699086	movie	Bachchhan Paandey	2022	147	Action,Comedy,Crime	5.2	36128
151917	tt10699348	movie	Rundfunk: Jachterwachter	2020	89	Comedy	5.7	1517
151918	tt10699362	movie	Moffie	2019	104	Drama,Romance,War	6.8	3444
151925	tt10701074	movie	Ponniyin Selvan: Part I	2022	167	Action,Adventure,Drama	7.7	32797
151927	tt10701458	movie	Castle Freak	2020	106	Horror,Mystery	4.3	1501
151934	tt10702148	movie	The Killing of Two Lovers	2020	85	Drama	6.9	4647
151935	tt10702760	movie	National Theatre Live: Fleabag	2019	80	Comedy	8.3	2505
151942	tt10703826	movie	Citizen K	2019	126	Documentary	7.1	1473
151945	tt10703978	movie	The Free Fall	2021	82	Drama,Horror,Mystery	4.5	1222
151955	tt10706602	movie	Collective	2019	109	Crime,Documentary	8.1	12798
151972	tt1070858	movie	The Secrets of Jonathan Sperry	2008	96	Drama,Family	6.8	1563
151974	tt1070874	movie	The Trial of the Chicago 7	2020	129	Drama,History,Thriller	7.7	183272
151977	tt1070887	movie	The War Boys	2009	93	Crime,Drama,Romance	6.5	1843
151981	tt10709232	movie	Hero	2019	164	Action,Drama,Thriller	6.3	2255
151982	tt10709404	movie	Namma Veettu Pillai	2019	153	Action,Comedy,Drama	6.0	1597
151983	tt10709484	movie	Don	2022	165	Comedy,Drama,Romance	6.8	10286
151985	tt10710246	movie	Eftihia	2019	123	Biography,Drama,Music	8.1	4588
151986	tt10711648	movie	Comali	2019	143	Comedy	6.9	3724
151997	tt1071228	movie	I Was Here	2008	95	Crime,Drama	7.0	1166
152003	tt10712928	movie	Stars Fell on Alabama	2021	103	Comedy,Drama,Romance	5.6	1192
152006	tt10713340	movie	Held	2020	94	Horror,Mystery,Thriller	5.3	2548
152020	tt10714856	movie	Feel the Beat	2020	109	Comedy,Drama,Family	6.3	12224
152022	tt10715194	movie	Back to School	2019	83	Comedy	5.4	1336
152025	tt10715446	movie	Yakuza Princess	2021	111	Thriller	4.7	1897
152031	tt10717738	movie	Anjaam Pathiraa	2020	144	Crime,Mystery,Thriller	7.9	8077
152037	tt1071804	movie	Ink	2009	107	Action,Drama,Fantasy	6.8	22039
152042	tt1071812	movie	Mao's Last Dancer	2009	117	Biography,Drama,Music	7.3	8081
152044	tt1071815	movie	Naruto the Movie 3: Guardians of the Crescent Moon Kingdom	2006	95	Action,Adventure,Animation	6.3	4356
152050	tt1071875	movie	Ghost Rider: Spirit of Vengeance	2011	96	Action,Adventure,Fantasy	4.3	122442
152053	tt1071880	movie	The Crew	2008	123	Action,Crime,Drama	5.9	2762
152070	tt10719958	movie	The Birthday Cake	2021	93	Crime,Thriller	4.3	1709
152086	tt10723416	movie	Look at Me: XXXTentacion	2022	108	Documentary,Music	7.5	1783
152091	tt1072438	movie	Not Since You	2009	90	Drama,Romance	5.4	2067
152104	tt10726604	movie	The Bad Guys: The Movie	2019	114	Action,Crime,Thriller	6.2	1898
152114	tt1072748	movie	Winchester	2018	99	Drama,Fantasy,Horror	5.4	35253
152117	tt1072754	movie	Messages Deleted	2010	92	Thriller	4.9	2193
152123	tt10728764	movie	Nobody Knows I'm Here	2020	91	Drama,Music	6.5	4591
152134	tt1073105	movie	The Descent: Part 2	2009	94	Adventure,Horror,Thriller	5.7	49069
152140	tt10731256	movie	Don't Worry Darling	2022	123	Drama,Thriller	6.2	113016
152141	tt10731264	movie	Suraj Pe Mangal Bhari	2020	141	Comedy	5.9	3670
152146	tt10731386	movie	Audrey	2020	100	Biography,Documentary,History	7.1	2250
152154	tt10731748	movie	Airplane Mode	2020	96	Comedy,Drama,Romance	5.1	2794
152155	tt10731768	movie	Sweet Girl	2021	110	Action,Drama,Thriller	5.5	33301
